Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ARRB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ARRB2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,BCHE,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,BTRC,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,C1QA,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,C1QB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,C1QC,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CAMK2G,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CBL,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CDC14B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CDC20,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CDH1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CDH3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CFTR,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CLK1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CREB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CREBBP,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CTDSP1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,CTNNB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DAPK3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DUSP11,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DYNLL1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DYRK1A,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DYRK2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,EEF1A1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,EEF1A2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,EPX,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ERN1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ERN2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ETS1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ETS2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,FBXW7,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,FZR1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,GCK,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,GGA1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,GSK3B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,HDDC2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,HLA-DRB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,IKBKB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,IRF3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,ITGA4,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,JUP,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,KEAP1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,LPO,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,MAP1LC3B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,MDC1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,MLKL,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,MOB1A,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,MPO,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,NEDD4L,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,NLRC4,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,OTUD5,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PAK4,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PAK6,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PAK7,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PAXIP1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PDHA1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PDHB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PDPK1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGA3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGA4,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGA5,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGM1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGM3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PGM5,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PIH1D1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PIN1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PKN1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PKN2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PLK1,P(OCC(N)C(O)=O)(O)(O)=O,
